"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"Stock Market Investing for Beginners","the-beginners-guide-to-the-stock-market","False",0,50855,2698,15,"Beginner Level",1.5,"2013-12-25","Business Finance"
"Accounting for Beginners : Learn Basics in under 1 Hour","accounting-for-beginners-how-to-do-accounting-super-easily","True",50,1971,13,20,"Beginner Level",1.5,"2015-12-03","Business Finance"
"Straddle Options Trading - Profit in Any Market Direction","straddle-options-trading-profit-in-any-market-direction","True",200,837,9,19,"All Levels",1,"2016-10-03","Business Finance"
"Fundamentals of Forex Trading","fundamentals-of-forex-trading","False",0,17160,620,23,"All Levels",1,"2014-08-29","Business Finance"
"Binary Options: Trading Strategies 90% Accuracy and Signals","learn-trading-binary-options-from-scratch-and-3-strategies","True",195,1723,38,24,"Beginner Level",1,"2015-12-14","Business Finance"
"Website Investing 101 - Buying & Selling Online Businesses","cash-flow-website-investing-buy-sell-online-businesses-digital-assets","False",0,6811,151,51,"All Levels",2,"2016-08-05","Business Finance"
"Practical Accounts & Bookkeeping Automated Overview ","practical-accounts-bookkeeping-automated-overview","True",20,2060,17,30,"All Levels",4.5,"2016-01-28","Business Finance"
"Live Account - ETF Trading System - Hacking The Stock Market","cracked-wall-street-hacked-the-stock-market-top-secret","True",150,2318,19,16,"All Levels",5,"2014-12-31","Business Finance"
"Stock Market Leverage: How to Start Trading Options Wisely","stock-market-tips-how-to-successfully-trade-options","True",95,2153,14,13,"Beginner Level",1.5,"2015-07-27","Business Finance"
"Stock Market Foundations","how-to-invest-in-the-stock-market-beginners","False",0,19339,794,9,"Beginner Level",2,"2014-03-31","Business Finance"
"Crash Course on Working Capital Management","crash-course-on-working-capital-management","True",20,3177,8,8,"All Levels",1,"2015-04-16","Business Finance"
"Advanced Accounting A Complete Study for CA  CMA / CFA / CS","branch-accounts-a-complete-analysis/","True",150,1535,16,462,"All Levels",62,"2016-06-03","Business Finance"
"61% Profit In 1 Month - Crush Your Forex Trading Paradigm","61-profit-in-1-month-shattering-your-trading-paradigm","True",20,1027,29,25,"All Levels",1.5,"2016-07-18","Business Finance"
"How to create a routine Trading","how-to-create-a-trading-routine","True",25,307,8,5,"All Levels",0.13,"2017-05-01","Business Finance"
"Forex Trading Secrets |MT4 Robot (EA) inside no coding","forex-trading-robot-forex-trading","True",150,2096,48,29,"All Levels",0.68,"2015-08-24","Business Finance"
"Forex SOS Course: Trading Tweaks And Working Forex Strategy","forex-sos-course","True",50,1315,48,59,"Beginner Level",2.5,"2015-11-18","Business Finance"
"Introduction to Financial Modeling","financial-modeling-asimplemodel","False",0,29167,1463,8,"Intermediate Level",1.5,"2014-05-27","Business Finance"
"Quantitative Aptitude for Banking & Competitive Examinations","quantitative-aptitude-for-competitive-examinations-part-i","True",50,1056,1,42,"All Levels",3,"2017-02-09","Business Finance"
"Option Spreads and Credit Spreads Bundle","option-spreads-and-credit-spreads-bundle","True",180,2212,194,24,"Expert Level",4.5,"2013-03-05","Business Finance"
"B Com Accountancy I (Paper ECO 02 IGNOU)","accounts-from-incomplete-records","True",50,2946,6,284,"All Levels",31.5,"2016-05-05","Business Finance"
"FOREX TRADING - Learn in a quick + profitable way + support","forex-the-only-simple-trading-your-ever-need-bank-trading","True",100,271,48,47,"All Levels",3.5,"2017-02-20","Business Finance"
"Auditing Basics (Professional Course Level)","basics-of-auditing","True",25,3771,10,35,"All Levels",2.5,"2015-02-13","Business Finance"
"Stock market Investing Encyclopedia: How to invest in stocks","stockmarket","True",200,3143,11,39,"Intermediate Level",3,"2015-11-10","Business Finance"
"Learn the basics of preparing accounting statements","basics-of-financial-accounting","True",20,1951,30,20,"Intermediate Level",0.55,"2015-10-13","Business Finance"
"Elliott Wave -Forex Trading With The Elliott Wave Theory","forex-trading-with-the-elliot-wave-theory","True",90,4022,35,14,"Expert Level",1,"2016-12-15","Business Finance"
